Журнал информации по встрече морских и наземных млекопитающий при транспортировке грузов и СПГ;;;;;;;"Системы координат: См. лист ""Координаты""";;;;
;;;;;;;;;;;
№;Название судна;ФИО наблюдателя;ДД.ММ.ГГ;Время наблюдения;Координаты наблюдения;Вид млекопитающего;Кол-во;Расст-е;Среда (Вода, Берег, Лед);По какому борту;Меры по защите
112;50 лет Победы;Жоров А.В.;02.03.2015;06.30 мск ;7400,3N/7258Е;БЕЛЫЙ МЕДВЕДЬ ;5;5 кбт;;;НЕ БЫЛО НЕОБХОДИМОСТИ
113;АЛ ТАЙМЫР;Песин В. С.;02.03.2015;05.25 МСК;7155,0N / 7210,0E;БЕЛЫЙ МЕДВЕДЬ ;1;150 м;;;НЕ БЫЛО НЕОБХОДИМОСТИ
114;АЛ ТАЙМЫР;КЕЛАРЕВ К.А.;16.03.2015;08.44 МСК;7310,7N/7302,8E;БЕЛЫЙ МЕДВЕДЬ ;3;5 кбт;;;НЕ БЫЛО НЕОБХОДИМОСТИ
115;АЛ ТАЙМЫР;ПУСТОВОЙ Е. В.;25.03.2015;11:35 МСК;7215,3 N/07321,6 E;НЕРПА;1;1 кбт;;;НЕ БЫЛО НЕОБХОДИМОСТИ
116;АЛ ТАЙМЫР;Чистов А. Б.;26.03.2015;20.00 МСК;7150 N / 07305 E;Белый медведь ;1;50 м;;;НЕ БЫЛО НЕОБХОДИМОСТИ
117;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;04.04.2015;13:39;7242,3 N/07307,1 E;НЕРПА;1;50м;;;НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
118;АЛ ТАЙМЫР;АЛЫПОВ АЛЕКСАНДР ЛЕОНИДОВИЧ;04.04.2015;;7257 N/07253 E;БЕЛЫЙ МЕДВЕДЬ ;1;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
119;АЛ ТАЙМЫР;ВОЛКОВ ПАВЕЛ АЛЕКСАНДРОВИЧ;09.04.2015;12:07;7256,8 N/07232,3 E;НЕРПА кольчатая;2;1 КБТ  ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
120;АЛ ТАЙМЫР;ВОЛКОВ ПАВЕЛ АЛЕКСАНДРОВИЧ;13.04.2015;12:17;7205,0 N/07329,0 E;НЕРПА КОЛЬЧАТАЯ ;1;1 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
121;АЛ ТАЙМЫР;ВОЛКОВ ПАВЕЛ АЛЕКСАНДРОВИЧ;13.04.2015;12:17;7302,8 N/07227,5 E;НЕРПА КОЛЬЧАТАЯ ;3;1 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
122;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;13.04.2015;12:19;7251,2 N/07248,4 E;НЕРПА КОЛЬЧАТАЯ ;7;1 ,5 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
123;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;14.04.2015;12:31;7144,8 N/07258,6 E;НЕРПА КОЛЬЧАТАЯ ;1;1 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
124;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;19.04.2015;8:40;7308,4 N/07326,9 E;НЕРПА КОЛЬЧАТАЯ ;2;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
125;АЛ ТАЙМЫР;ВОЛКОВ ПАВЕЛ АЛЕКСАНДРОВИЧ;19.04.2015;8:41;7303,7 N/07329,2 E;НЕРПА КОЛЬЧАТАЯ ;2;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
126;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;19.04.2015;14:13;7417,5 N/07331,8 E;МОРЖ;1;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
127;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;20.04.2015;12:13;7543,8 N/07108,7 E;БЕЛЫЙ МЕДВЕДЬ ;1;0,5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
128;АЛ ТАЙМЫР;АЛЫПОВ АЛЕКСАНДР ЛЕОНИДОВИЧ;21.04.2015;12:17;7228,4 N/07359,2 E;НЕРПА;1;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
129;АЛ ТАЙМЫР;АЛЫПОВ АЛЕКСАНДР ЛЕОНИДОВИЧ;21.04.2015;14:02;7224,5 N/07348,3 E;НЕРПА;2;1,5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
130;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;21.04.2015;14:00;7221,4 N/07340,5 E;НЕРПА;1;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
131;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;21.04.2015;14:01;7212,7 N/07317,9 E;НЕРПА;3;1,5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
132;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;21.04.2015;16:28;7207,4 N/07311,9 E;НЕРПА;10;ОТ 1 ДО 2 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
133;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;22.04.2015;12:33;7144,7 N/07258,6 E;НЕРПА;1;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
134;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;22.04.2015;12:34;7159,4 N/07312,2 E;НЕРПА;6;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
135;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;22.04.2015;12:34;7204,6 N/07312,7 E;НЕРПА КОЛЬЧАТАЯ ;3;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
